City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avarua,CK,-21.2078,-159.775,82.45,78,100,16.11,overcast clouds
80,Shahrud,IR,36.4182,54.9763,75.02,21,33,1.72,scattered clouds
81,Busselton,AU,-33.65,115.3333,59.95,87,97,8.5,overcast clouds
82,Rawson,AR,-43.3002,-65.1023,36.86,49,0,5.93,clear sky
83,Sao Filipe,CV,14.8961,-24.4956,75.7,92,55,4.09,broken clouds
84,Ambon,ID,-3.6954,128.1814,80.74,89,40,4.61,scattered clouds
85,Abu Zabad,SD,12.35,29.25,82.33,48,2,5.77,clear sky
86,Vardo,NO,70.3705,31.1107,42.78,100,100,1.14,overcast clouds
87,Christchurch,NZ,-43.5333,172.6333,51.42,75,53,5.75,broken clouds
88,Port Elizabeth,ZA,-33.918,25.5701,59.31,87,100,2.3,overcast clouds
89,Kruisfontein,ZA,-34.0033,24.7314,55.89,57,100,6.42,overcast clouds
90,Hovd,MN,48.0056,91.6419,70.21,32,0,2.39,clear sky
91,Brae,GB,60.3964,-1.353,52.59,97,100,18.86,overcast clouds
92,Quchan,IR,37.106,58.5095,68.68,26,14,7.31,few clouds
93,Hermanus,ZA,-34.4187,19.2345,59.81,87,100,11.05,overcast clouds
94,Dossor,KZ,47.5272,52.9811,79.88,37,80,11.43,broken clouds
95,San Vicente,AR,-26.6167,-54.1333,61.97,99,88,0.92,overcast clouds
96,Caravelas,BR,-17.7125,-39.2481,70.68,88,2,4.72,clear sky
97,Poum,NC,-20.2333,164.0167,72.82,59,100,3.87,overcast clouds
98,Shubarshi,KZ,48.5872,57.1869,73.54,51,100,9.73,overcast clouds
99,Olinda,BR,-8.0089,-34.8553,69.53,94,75,1.14,light rain
100,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,51,75,6.91,broken clouds
101,Nikolskoye,RU,59.7035,30.7861,49.91,72,91,3.04,overcast clouds
102,Mehamn,NO,71.0357,27.8492,42.75,87,25,4.61,scattered clouds
103,Half Moon Bay,US,37.4636,-122.4286,88.59,53,75,19.57,broken clouds
104,Vestmannaeyjar,IS,63.4427,-20.2734,46.78,74,100,4.03,overcast clouds
105,Tulum,MX,20.2167,-87.4667,80.83,77,32,7.38,scattered clouds
106,Ribeira Grande,PT,38.5167,-28.7,65.34,83,97,17.85,overcast clouds
107,Ilulissat,GL,69.2167,-51.1,37.42,81,100,4.61,overcast clouds
108,Atuona,PF,-9.8,-139.0333,78.35,63,0,19.64,clear sky
109,Onguday,RU,50.75,86.15,69.44,63,2,3.29,clear sky
110,Clyde River,CA,70.4692,-68.5914,34.03,93,100,13.8,light rain
111,Kodiak,US,57.79,-152.4072,65.71,52,0,4.61,smoke
112,Yuanping,CN,38.7153,112.7575,79.29,45,0,1.28,clear sky
113,Kununurra,AU,-15.7667,128.7333,75.18,33,3,14.97,clear sky
114,Tateyama,JP,34.9833,139.8667,73.02,86,62,3.22,broken clouds
115,Butembo,CD,0.15,29.2833,55.17,91,98,3.02,overcast clouds
116,Saint George,US,37.1041,-113.5841,93.79,17,0,11.5,clear sky
117,Ambanja,MG,-13.6833,48.45,66.45,68,10,5.59,clear sky
118,Totness,SR,5.8833,-56.3167,77.11,87,100,7.76,overcast clouds
119,Ahipara,NZ,-35.1667,173.1667,58.66,62,45,5.19,scattered clouds
120,Helena,US,46.5927,-112.0361,83.39,28,0,10.0,clear sky
121,Chenzhou,CN,25.8,113.0333,83.7,70,95,8.88,overcast clouds
122,Khartoum,SD,15.5518,32.5324,95.27,15,85,4.54,overcast clouds
123,Campbell River,CA,50.0163,-125.2446,64.78,42,40,13.8,scattered clouds
124,Arraial Do Cabo,BR,-22.9661,-42.0278,70.27,87,0,18.81,clear sky
125,Taunggyi,MM,20.7833,97.0333,66.2,87,100,5.53,overcast clouds
126,Fort-Shevchenko,KZ,44.5086,50.263,74.19,79,99,12.17,overcast clouds
127,Lebu,CL,-37.6167,-73.65,48.78,90,100,8.19,overcast clouds
128,Puerto Escondido,MX,15.85,-97.0667,78.42,89,100,10.98,overcast clouds
129,Tasiilaq,GL,65.6145,-37.6368,32.16,81,10,5.48,clear sky
130,Provideniya,RU,64.3833,-173.3,41.36,100,100,15.99,drizzle
131,Chokurdakh,RU,70.6333,147.9167,44.82,47,88,16.62,overcast clouds
132,Balakirevo,RU,56.5059,38.8432,46.87,89,1,6.69,clear sky
133,Grosseto,IT,42.8333,11.25,72.91,94,20,3.44,few clouds
134,Sibu,MY,2.3,111.8167,75.51,88,40,7.0,scattered clouds
135,Pangnirtung,CA,66.1451,-65.7125,47.39,65,0,2.26,clear sky
136,Minuri,PH,16.535,121.8574,78.4,82,98,0.96,overcast clouds
137,Yulara,AU,-25.2406,130.9889,58.77,40,0,5.84,clear sky
138,Miramar,US,25.9873,-80.2323,82.0,68,20,11.5,few clouds
139,Singaraja,ID,-8.112,115.0882,82.42,70,99,2.46,overcast clouds
140,Avera,US,33.194,-82.5271,96.85,28,0,4.34,clear sky
141,Namibe,AO,-15.1961,12.1522,61.43,68,0,5.46,clear sky
142,Marsh Harbour,BS,26.5412,-77.0636,77.36,61,100,10.58,overcast clouds
143,Upernavik,GL,72.7868,-56.1549,33.98,89,100,9.98,overcast clouds
144,Nouadhibou,MR,20.931,-17.0347,73.38,73,21,11.5,few clouds
145,Okhtyrka,UA,50.3104,34.8988,52.45,96,100,0.34,overcast clouds
146,Grand Forks,US,47.9417,-97.4337,82.33,39,20,9.22,few clouds
147,Vila Velha,BR,-20.3297,-40.2925,73.35,93,20,5.75,few clouds
148,Kirakira,SB,-10.4544,161.9205,83.86,72,50,5.79,scattered clouds
149,Keti Bandar,PK,24.1447,67.4497,83.82,79,1,13.62,clear sky
150,Olafsvik,IS,64.8945,-23.7142,43.2,67,41,23.13,scattered clouds
151,Yellowknife,CA,62.456,-114.3525,70.32,32,20,10.36,few clouds
152,Smolenskoye,RU,52.3044,85.0781,71.78,74,6,8.01,clear sky
153,Narsaq,GL,60.9167,-46.05,53.82,54,0,3.69,clear sky
154,Stanghelle,NO,60.5528,5.7357,55.85,96,100,6.11,light rain
155,Vestmanna,FO,62.1564,-7.1664,49.12,87,75,16.11,broken clouds
156,At-Bashi,KG,41.1702,75.8106,58.82,69,88,4.05,moderate rain
157,Sechura,PE,-5.5569,-80.8222,64.44,75,20,15.32,few clouds
158,Hithadhoo,MV,-0.6,73.0833,83.93,69,36,10.65,scattered clouds
159,Collie,AU,-33.3667,116.15,57.42,96,100,4.45,overcast clouds
160,Kavieng,PG,-2.5744,150.7967,84.87,67,100,5.1,light rain
161,Honiara,SB,-9.4333,159.95,86.45,64,70,3.8,broken clouds
162,Pangody,RU,65.85,74.4859,72.54,58,66,2.91,broken clouds
163,Port Lincoln,AU,-34.7333,135.8667,58.44,63,83,19.48,broken clouds
164,Pokhara,NP,28.2333,83.9833,74.62,80,13,0.22,few clouds
165,Tiksi,RU,71.6872,128.8694,40.66,63,100,22.86,overcast clouds
166,Esmeraldas,BR,-19.7625,-44.3139,65.44,49,32,2.91,scattered clouds
167,La Asuncion,VE,11.0333,-63.8628,82.13,83,12,18.41,few clouds
168,Havoysund,NO,70.9963,24.6622,44.83,80,74,12.41,broken clouds
169,Upington,ZA,-28.4478,21.2561,66.58,88,75,2.3,broken clouds
170,Bonavista,CA,48.6499,-53.1147,52.72,85,96,9.19,overcast clouds
171,Deputatskiy,RU,69.3,139.9,46.69,38,13,14.83,few clouds
172,Leningradskiy,RU,69.3833,178.4167,51.53,53,86,9.15,overcast clouds
173,Dickinson,US,29.4608,-95.0513,91.49,65,20,12.66,few clouds
174,Namatanai,PG,-3.6667,152.4333,85.35,66,93,4.29,overcast clouds
175,Homer,US,59.6425,-151.5483,64.27,63,0,14.97,clear sky
176,Tura,IN,25.5198,90.2201,75.58,94,100,5.53,overcast clouds
177,Broken Hill,AU,-31.95,141.4333,56.26,60,94,11.63,overcast clouds
178,Khatassy,RU,61.9036,129.6383,78.78,39,3,11.3,clear sky
179,Katsuura,JP,35.1333,140.3,73.83,87,88,8.75,overcast clouds
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.94,91,0,15.77,clear sky
181,Kurchum,KZ,48.5722,83.6542,79.9,35,23,1.34,few clouds
